Run_Number,Disk.mdot(msol/yr),Wind.mdot(msol/yr),KWD.d(in_units_of_rstar),KWD.mdot_r_exponent,KWD.acceleration_length(cm),KWD.acceleration_exponent
364.0,1e-08,1e-09,5.5,0.25,7251820000.0,1.5
365.0,1e-08,1e-09,5.5,0.25,7251820000.0,4.5
366.0,1e-08,1e-09,5.5,0.25,72518200000.0,0.5
367.0,1e-08,1e-09,5.5,0.25,72518200000.0,1.5
368.0,1e-08,1e-09,5.5,0.25,72518200000.0,4.5
369.0,1e-08,1e-09,5.5,1.0,725182000.0,0.5
370.0,1e-08,1e-09,5.5,1.0,725182000.0,1.5
371.0,1e-08,1e-09,5.5,1.0,725182000.0,4.5
372.0,1e-08,1e-09,5.5,1.0,7251820000.0,0.5
373.0,1e-08,1e-09,5.5,1.0,7251820000.0,1.5
374.0,1e-08,1e-09,5.5,1.0,7251820000.0,4.5
375.0,1e-08,1e-09,5.5,1.0,72518200000.0,0.5
376.0,1e-08,1e-09,5.5,1.0,72518200000.0,1.5
377.0,1e-08,1e-09,5.5,1.0,72518200000.0,4.5
378.0,1e-08,1e-09,55.0,0.0,725182000.0,0.5
379.0,1e-08,1e-09,55.0,0.0,725182000.0,1.5
380.0,1e-08,1e-09,55.0,0.0,725182000.0,4.5
381.0,1e-08,1e-09,55.0,0.0,7251820000.0,0.5
382.0,1e-08,1e-09,55.0,0.0,7251820000.0,1.5
383.0,1e-08,1e-09,55.0,0.0,7251820000.0,4.5
384.0,1e-08,1e-09,55.0,0.0,72518200000.0,0.5
385.0,1e-08,1e-09,55.0,0.0,72518200000.0,1.5
386.0,1e-08,1e-09,55.0,0.0,72518200000.0,4.5
387.0,1e-08,1e-09,55.0,0.25,725182000.0,0.5
388.0,1e-08,1e-09,55.0,0.25,725182000.0,1.5
389.0,1e-08,1e-09,55.0,0.25,725182000.0,4.5
390.0,1e-08,1e-09,55.0,0.25,7251820000.0,0.5
391.0,1e-08,1e-09,55.0,0.25,7251820000.0,1.5
392.0,1e-08,1e-09,55.0,0.25,7251820000.0,4.5
393.0,1e-08,1e-09,55.0,0.25,72518200000.0,0.5
394.0,1e-08,1e-09,55.0,0.25,72518200000.0,1.5
395.0,1e-08,1e-09,55.0,0.25,72518200000.0,4.5
396.0,1e-08,1e-09,55.0,1.0,725182000.0,0.5
397.0,1e-08,1e-09,55.0,1.0,725182000.0,1.5
398.0,1e-08,1e-09,55.0,1.0,725182000.0,4.5
399.0,1e-08,1e-09,55.0,1.0,7251820000.0,0.5
400.0,1e-08,1e-09,55.0,1.0,7251820000.0,1.5
401.0,1e-08,1e-09,55.0,1.0,7251820000.0,4.5
402.0,1e-08,1e-09,55.0,1.0,72518200000.0,0.5
403.0,1e-08,1e-09,55.0,1.0,72518200000.0,1.5
404.0,1e-08,1e-09,55.0,1.0,72518200000.0,4.5
405.0,1e-08,3e-09,0.55,0.0,725182000.0,0.5
406.0,1e-08,3e-09,0.55,0.0,725182000.0,1.5
407.0,1e-08,3e-09,0.55,0.0,725182000.0,4.5
408.0,1e-08,3e-09,0.55,0.0,7251820000.0,0.5
409.0,1e-08,3e-09,0.55,0.0,7251820000.0,1.5
410.0,1e-08,3e-09,0.55,0.0,7251820000.0,4.5
411.0,1e-08,3e-09,0.55,0.0,72518200000.0,0.5
412.0,1e-08,3e-09,0.55,0.0,72518200000.0,1.5
413.0,1e-08,3e-09,0.55,0.0,72518200000.0,4.5
414.0,1e-08,3e-09,0.55,0.25,725182000.0,0.5
415.0,1e-08,3e-09,0.55,0.25,725182000.0,1.5
416.0,1e-08,3e-09,0.55,0.25,725182000.0,4.5
417.0,1e-08,3e-09,0.55,0.25,7251820000.0,0.5
418.0,1e-08,3e-09,0.55,0.25,7251820000.0,1.5
419.0,1e-08,3e-09,0.55,0.25,7251820000.0,4.5
420.0,1e-08,3e-09,0.55,0.25,72518200000.0,0.5
421.0,1e-08,3e-09,0.55,0.25,72518200000.0,1.5
422.0,1e-08,3e-09,0.55,0.25,72518200000.0,4.5
423.0,1e-08,3e-09,0.55,1.0,725182000.0,0.5
424.0,1e-08,3e-09,0.55,1.0,725182000.0,1.5
425.0,1e-08,3e-09,0.55,1.0,725182000.0,4.5
426.0,1e-08,3e-09,0.55,1.0,7251820000.0,0.5
427.0,1e-08,3e-09,0.55,1.0,7251820000.0,1.5
428.0,1e-08,3e-09,0.55,1.0,7251820000.0,4.5
429.0,1e-08,3e-09,0.55,1.0,72518200000.0,0.5
430.0,1e-08,3e-09,0.55,1.0,72518200000.0,1.5
431.0,1e-08,3e-09,0.55,1.0,72518200000.0,4.5
432.0,1e-08,3e-09,5.5,0.0,725182000.0,0.5
433.0,1e-08,3e-09,5.5,0.0,725182000.0,1.5
434.0,1e-08,3e-09,5.5,0.0,725182000.0,4.5
435.0,1e-08,3e-09,5.5,0.0,7251820000.0,0.5
436.0,1e-08,3e-09,5.5,0.0,7251820000.0,1.5
437.0,1e-08,3e-09,5.5,0.0,7251820000.0,4.5
438.0,1e-08,3e-09,5.5,0.0,72518200000.0,0.5
439.0,1e-08,3e-09,5.5,0.0,72518200000.0,1.5
440.0,1e-08,3e-09,5.5,0.0,72518200000.0,4.5
441.0,1e-08,3e-09,5.5,0.25,725182000.0,0.5
442.0,1e-08,3e-09,5.5,0.25,725182000.0,1.5
443.0,1e-08,3e-09,5.5,0.25,725182000.0,4.5
444.0,1e-08,3e-09,5.5,0.25,7251820000.0,0.5
445.0,1e-08,3e-09,5.5,0.25,7251820000.0,1.5
446.0,1e-08,3e-09,5.5,0.25,7251820000.0,4.5
447.0,1e-08,3e-09,5.5,0.25,72518200000.0,0.5
448.0,1e-08,3e-09,5.5,0.25,72518200000.0,1.5
449.0,1e-08,3e-09,5.5,0.25,72518200000.0,4.5
450.0,1e-08,3e-09,5.5,1.0,725182000.0,0.5
451.0,1e-08,3e-09,5.5,1.0,725182000.0,1.5
452.0,1e-08,3e-09,5.5,1.0,725182000.0,4.5
453.0,1e-08,3e-09,5.5,1.0,7251820000.0,0.5
454.0,1e-08,3e-09,5.5,1.0,7251820000.0,1.5
455.0,1e-08,3e-09,5.5,1.0,7251820000.0,4.5
456.0,1e-08,3e-09,5.5,1.0,72518200000.0,0.5
457.0,1e-08,3e-09,5.5,1.0,72518200000.0,1.5
458.0,1e-08,3e-09,5.5,1.0,72518200000.0,4.5
459.0,1e-08,3e-09,55.0,0.0,725182000.0,0.5
460.0,1e-08,3e-09,55.0,0.0,725182000.0,1.5
461.0,1e-08,3e-09,55.0,0.0,725182000.0,4.5
462.0,1e-08,3e-09,55.0,0.0,7251820000.0,0.5
463.0,1e-08,3e-09,55.0,0.0,7251820000.0,1.5
464.0,1e-08,3e-09,55.0,0.0,7251820000.0,4.5
465.0,1e-08,3e-09,55.0,0.0,72518200000.0,0.5
466.0,1e-08,3e-09,55.0,0.0,72518200000.0,1.5
467.0,1e-08,3e-09,55.0,0.0,72518200000.0,4.5
468.0,1e-08,3e-09,55.0,0.25,725182000.0,0.5
469.0,1e-08,3e-09,55.0,0.25,725182000.0,1.5
470.0,1e-08,3e-09,55.0,0.25,725182000.0,4.5
471.0,1e-08,3e-09,55.0,0.25,7251820000.0,0.5
472.0,1e-08,3e-09,55.0,0.25,7251820000.0,1.5
473.0,1e-08,3e-09,55.0,0.25,7251820000.0,4.5
474.0,1e-08,3e-09,55.0,0.25,72518200000.0,0.5
475.0,1e-08,3e-09,55.0,0.25,72518200000.0,1.5
476.0,1e-08,3e-09,55.0,0.25,72518200000.0,4.5
477.0,1e-08,3e-09,55.0,1.0,725182000.0,0.5
478.0,1e-08,3e-09,55.0,1.0,725182000.0,1.5
479.0,1e-08,3e-09,55.0,1.0,725182000.0,4.5
480.0,1e-08,3e-09,55.0,1.0,7251820000.0,0.5
481.0,1e-08,3e-09,55.0,1.0,7251820000.0,1.5
482.0,1e-08,3e-09,55.0,1.0,7251820000.0,4.5
483.0,1e-08,3e-09,55.0,1.0,72518200000.0,0.5
484.0,1e-08,3e-09,55.0,1.0,72518200000.0,1.5
485.0,1e-08,3e-09,55.0,1.0,72518200000.0,4.5
486.0,3e-08,9e-10,0.55,0.0,725182000.0,0.5
487.0,3e-08,9e-10,0.55,0.0,725182000.0,1.5
488.0,3e-08,9e-10,0.55,0.0,725182000.0,4.5
489.0,3e-08,9e-10,0.55,0.0,7251820000.0,0.5
490.0,3e-08,9e-10,0.55,0.0,7251820000.0,1.5
491.0,3e-08,9e-10,0.55,0.0,7251820000.0,4.5
492.0,3e-08,9e-10,0.55,0.0,72518200000.0,0.5
493.0,3e-08,9e-10,0.55,0.0,72518200000.0,1.5
494.0,3e-08,9e-10,0.55,0.0,72518200000.0,4.5
495.0,3e-08,9e-10,0.55,0.25,725182000.0,0.5
496.0,3e-08,9e-10,0.55,0.25,725182000.0,1.5
497.0,3e-08,9e-10,0.55,0.25,725182000.0,4.5
498.0,3e-08,9e-10,0.55,0.25,7251820000.0,0.5
499.0,3e-08,9e-10,0.55,0.25,7251820000.0,1.5
500.0,3e-08,9e-10,0.55,0.25,7251820000.0,4.5
501.0,3e-08,9e-10,0.55,0.25,72518200000.0,0.5
502.0,3e-08,9e-10,0.55,0.25,72518200000.0,1.5
503.0,3e-08,9e-10,0.55,0.25,72518200000.0,4.5
504.0,3e-08,9e-10,0.55,1.0,725182000.0,0.5
505.0,3e-08,9e-10,0.55,1.0,725182000.0,1.5
506.0,3e-08,9e-10,0.55,1.0,725182000.0,4.5
507.0,3e-08,9e-10,0.55,1.0,7251820000.0,0.5
508.0,3e-08,9e-10,0.55,1.0,7251820000.0,1.5
509.0,3e-08,9e-10,0.55,1.0,7251820000.0,4.5
510.0,3e-08,9e-10,0.55,1.0,72518200000.0,0.5
511.0,3e-08,9e-10,0.55,1.0,72518200000.0,1.5
512.0,3e-08,9e-10,0.55,1.0,72518200000.0,4.5
513.0,3e-08,9e-10,5.5,0.0,725182000.0,0.5
514.0,3e-08,9e-10,5.5,0.0,725182000.0,1.5
515.0,3e-08,9e-10,5.5,0.0,725182000.0,4.5
516.0,3e-08,9e-10,5.5,0.0,7251820000.0,0.5
517.0,3e-08,9e-10,5.5,0.0,7251820000.0,1.5
518.0,3e-08,9e-10,5.5,0.0,7251820000.0,4.5
519.0,3e-08,9e-10,5.5,0.0,72518200000.0,0.5
520.0,3e-08,9e-10,5.5,0.0,72518200000.0,1.5
521.0,3e-08,9e-10,5.5,0.0,72518200000.0,4.5
522.0,3e-08,9e-10,5.5,0.25,725182000.0,0.5
523.0,3e-08,9e-10,5.5,0.25,725182000.0,1.5
524.0,3e-08,9e-10,5.5,0.25,725182000.0,4.5
525.0,3e-08,9e-10,5.5,0.25,7251820000.0,0.5
526.0,3e-08,9e-10,5.5,0.25,7251820000.0,1.5
527.0,3e-08,9e-10,5.5,0.25,7251820000.0,4.5
528.0,3e-08,9e-10,5.5,0.25,72518200000.0,0.5
529.0,3e-08,9e-10,5.5,0.25,72518200000.0,1.5
530.0,3e-08,9e-10,5.5,0.25,72518200000.0,4.5
531.0,3e-08,9e-10,5.5,1.0,725182000.0,0.5
532.0,3e-08,9e-10,5.5,1.0,725182000.0,1.5
533.0,3e-08,9e-10,5.5,1.0,725182000.0,4.5
534.0,3e-08,9e-10,5.5,1.0,7251820000.0,0.5
535.0,3e-08,9e-10,5.5,1.0,7251820000.0,1.5
536.0,3e-08,9e-10,5.5,1.0,7251820000.0,4.5
537.0,3e-08,9e-10,5.5,1.0,72518200000.0,0.5
538.0,3e-08,9e-10,5.5,1.0,72518200000.0,1.5
539.0,3e-08,9e-10,5.5,1.0,72518200000.0,4.5
540.0,3e-08,9e-10,55.0,0.0,725182000.0,0.5
541.0,3e-08,9e-10,55.0,0.0,725182000.0,1.5
542.0,3e-08,9e-10,55.0,0.0,725182000.0,4.5
543.0,3e-08,9e-10,55.0,0.0,7251820000.0,0.5
544.0,3e-08,9e-10,55.0,0.0,7251820000.0,1.5
545.0,3e-08,9e-10,55.0,0.0,7251820000.0,4.5
546.0,3e-08,9e-10,55.0,0.0,72518200000.0,0.5
547.0,3e-08,9e-10,55.0,0.0,72518200000.0,1.5
548.0,3e-08,9e-10,55.0,0.0,72518200000.0,4.5
549.0,3e-08,9e-10,55.0,0.25,725182000.0,0.5
550.0,3e-08,9e-10,55.0,0.25,725182000.0,1.5
551.0,3e-08,9e-10,55.0,0.25,725182000.0,4.5
552.0,3e-08,9e-10,55.0,0.25,7251820000.0,0.5
553.0,3e-08,9e-10,55.0,0.25,7251820000.0,1.5
554.0,3e-08,9e-10,55.0,0.25,7251820000.0,4.5
555.0,3e-08,9e-10,55.0,0.25,72518200000.0,0.5
556.0,3e-08,9e-10,55.0,0.25,72518200000.0,1.5
557.0,3e-08,9e-10,55.0,0.25,72518200000.0,4.5
558.0,3e-08,9e-10,55.0,1.0,725182000.0,0.5
559.0,3e-08,9e-10,55.0,1.0,725182000.0,1.5
560.0,3e-08,9e-10,55.0,1.0,725182000.0,4.5
561.0,3e-08,9e-10,55.0,1.0,7251820000.0,0.5
562.0,3e-08,9e-10,55.0,1.0,7251820000.0,1.5
563.0,3e-08,9e-10,55.0,1.0,7251820000.0,4.5
564.0,3e-08,9e-10,55.0,1.0,72518200000.0,0.5
565.0,3e-08,9e-10,55.0,1.0,72518200000.0,1.5
566.0,3e-08,9e-10,55.0,1.0,72518200000.0,4.5
567.0,3e-08,3e-09,0.55,0.0,725182000.0,0.5
568.0,3e-08,3e-09,0.55,0.0,725182000.0,1.5
569.0,3e-08,3e-09,0.55,0.0,725182000.0,4.5
570.0,3e-08,3e-09,0.55,0.0,7251820000.0,0.5
571.0,3e-08,3e-09,0.55,0.0,7251820000.0,1.5
572.0,3e-08,3e-09,0.55,0.0,7251820000.0,4.5
573.0,3e-08,3e-09,0.55,0.0,72518200000.0,0.5
574.0,3e-08,3e-09,0.55,0.0,72518200000.0,1.5
575.0,3e-08,3e-09,0.55,0.0,72518200000.0,4.5
576.0,3e-08,3e-09,0.55,0.25,725182000.0,0.5
577.0,3e-08,3e-09,0.55,0.25,725182000.0,1.5
578.0,3e-08,3e-09,0.55,0.25,725182000.0,4.5
579.0,3e-08,3e-09,0.55,0.25,7251820000.0,0.5
580.0,3e-08,3e-09,0.55,0.25,7251820000.0,1.5
581.0,3e-08,3e-09,0.55,0.25,7251820000.0,4.5
582.0,3e-08,3e-09,0.55,0.25,72518200000.0,0.5
583.0,3e-08,3e-09,0.55,0.25,72518200000.0,1.5
584.0,3e-08,3e-09,0.55,0.25,72518200000.0,4.5
585.0,3e-08,3e-09,0.55,1.0,725182000.0,0.5
586.0,3e-08,3e-09,0.55,1.0,725182000.0,1.5
587.0,3e-08,3e-09,0.55,1.0,725182000.0,4.5
588.0,3e-08,3e-09,0.55,1.0,7251820000.0,0.5
589.0,3e-08,3e-09,0.55,1.0,7251820000.0,1.5
590.0,3e-08,3e-09,0.55,1.0,7251820000.0,4.5
591.0,3e-08,3e-09,0.55,1.0,72518200000.0,0.5
592.0,3e-08,3e-09,0.55,1.0,72518200000.0,1.5
593.0,3e-08,3e-09,0.55,1.0,72518200000.0,4.5
594.0,3e-08,3e-09,5.5,0.0,725182000.0,0.5
595.0,3e-08,3e-09,5.5,0.0,725182000.0,1.5
596.0,3e-08,3e-09,5.5,0.0,725182000.0,4.5
597.0,3e-08,3e-09,5.5,0.0,7251820000.0,0.5
598.0,3e-08,3e-09,5.5,0.0,7251820000.0,1.5
599.0,3e-08,3e-09,5.5,0.0,7251820000.0,4.5
600.0,3e-08,3e-09,5.5,0.0,72518200000.0,0.5
601.0,3e-08,3e-09,5.5,0.0,72518200000.0,1.5
602.0,3e-08,3e-09,5.5,0.0,72518200000.0,4.5
603.0,3e-08,3e-09,5.5,0.25,725182000.0,0.5
604.0,3e-08,3e-09,5.5,0.25,725182000.0,1.5
605.0,3e-08,3e-09,5.5,0.25,725182000.0,4.5
606.0,3e-08,3e-09,5.5,0.25,7251820000.0,0.5
607.0,3e-08,3e-09,5.5,0.25,7251820000.0,1.5
608.0,3e-08,3e-09,5.5,0.25,7251820000.0,4.5
609.0,3e-08,3e-09,5.5,0.25,72518200000.0,0.5
610.0,3e-08,3e-09,5.5,0.25,72518200000.0,1.5
611.0,3e-08,3e-09,5.5,0.25,72518200000.0,4.5
612.0,3e-08,3e-09,5.5,1.0,725182000.0,0.5
613.0,3e-08,3e-09,5.5,1.0,725182000.0,1.5
614.0,3e-08,3e-09,5.5,1.0,725182000.0,4.5
615.0,3e-08,3e-09,5.5,1.0,7251820000.0,0.5
616.0,3e-08,3e-09,5.5,1.0,7251820000.0,1.5
617.0,3e-08,3e-09,5.5,1.0,7251820000.0,4.5
618.0,3e-08,3e-09,5.5,1.0,72518200000.0,0.5
619.0,3e-08,3e-09,5.5,1.0,72518200000.0,1.5
620.0,3e-08,3e-09,5.5,1.0,72518200000.0,4.5
621.0,3e-08,3e-09,55.0,0.0,725182000.0,0.5
622.0,3e-08,3e-09,55.0,0.0,725182000.0,1.5
623.0,3e-08,3e-09,55.0,0.0,725182000.0,4.5
624.0,3e-08,3e-09,55.0,0.0,7251820000.0,0.5
625.0,3e-08,3e-09,55.0,0.0,7251820000.0,1.5
626.0,3e-08,3e-09,55.0,0.0,7251820000.0,4.5
627.0,3e-08,3e-09,55.0,0.0,72518200000.0,0.5
628.0,3e-08,3e-09,55.0,0.0,72518200000.0,1.5
629.0,3e-08,3e-09,55.0,0.0,72518200000.0,4.5
630.0,3e-08,3e-09,55.0,0.25,725182000.0,0.5
631.0,3e-08,3e-09,55.0,0.25,725182000.0,1.5
632.0,3e-08,3e-09,55.0,0.25,725182000.0,4.5
633.0,3e-08,3e-09,55.0,0.25,7251820000.0,0.5
634.0,3e-08,3e-09,55.0,0.25,7251820000.0,1.5
635.0,3e-08,3e-09,55.0,0.25,7251820000.0,4.5
636.0,3e-08,3e-09,55.0,0.25,72518200000.0,0.5
637.0,3e-08,3e-09,55.0,0.25,72518200000.0,1.5
638.0,3e-08,3e-09,55.0,0.25,72518200000.0,4.5
639.0,3e-08,3e-09,55.0,1.0,725182000.0,0.5
640.0,3e-08,3e-09,55.0,1.0,725182000.0,1.5
641.0,3e-08,3e-09,55.0,1.0,725182000.0,4.5
642.0,3e-08,3e-09,55.0,1.0,7251820000.0,0.5
643.0,3e-08,3e-09,55.0,1.0,7251820000.0,1.5
644.0,3e-08,3e-09,55.0,1.0,7251820000.0,4.5
645.0,3e-08,3e-09,55.0,1.0,72518200000.0,0.5
646.0,3e-08,3e-09,55.0,1.0,72518200000.0,1.5
647.0,3e-08,3e-09,55.0,1.0,72518200000.0,4.5
648.0,3e-08,9e-09,0.55,0.0,725182000.0,0.5
649.0,3e-08,9e-09,0.55,0.0,725182000.0,1.5
650.0,3e-08,9e-09,0.55,0.0,725182000.0,4.5
651.0,3e-08,9e-09,0.55,0.0,7251820000.0,0.5
652.0,3e-08,9e-09,0.55,0.0,7251820000.0,1.5
653.0,3e-08,9e-09,0.55,0.0,7251820000.0,4.5
654.0,3e-08,9e-09,0.55,0.0,72518200000.0,0.5
655.0,3e-08,9e-09,0.55,0.0,72518200000.0,1.5
656.0,3e-08,9e-09,0.55,0.0,72518200000.0,4.5
657.0,3e-08,9e-09,0.55,0.25,725182000.0,0.5
658.0,3e-08,9e-09,0.55,0.25,725182000.0,1.5
659.0,3e-08,9e-09,0.55,0.25,725182000.0,4.5
660.0,3e-08,9e-09,0.55,0.25,7251820000.0,0.5
661.0,3e-08,9e-09,0.55,0.25,7251820000.0,1.5
662.0,3e-08,9e-09,0.55,0.25,7251820000.0,4.5
663.0,3e-08,9e-09,0.55,0.25,72518200000.0,0.5
664.0,3e-08,9e-09,0.55,0.25,72518200000.0,1.5
665.0,3e-08,9e-09,0.55,0.25,72518200000.0,4.5
666.0,3e-08,9e-09,0.55,1.0,725182000.0,0.5
667.0,3e-08,9e-09,0.55,1.0,725182000.0,1.5
668.0,3e-08,9e-09,0.55,1.0,725182000.0,4.5
669.0,3e-08,9e-09,0.55,1.0,7251820000.0,0.5
670.0,3e-08,9e-09,0.55,1.0,7251820000.0,1.5
671.0,3e-08,9e-09,0.55,1.0,7251820000.0,4.5
672.0,3e-08,9e-09,0.55,1.0,72518200000.0,0.5
673.0,3e-08,9e-09,0.55,1.0,72518200000.0,1.5
674.0,3e-08,9e-09,0.55,1.0,72518200000.0,4.5
675.0,3e-08,9e-09,5.5,0.0,725182000.0,0.5
676.0,3e-08,9e-09,5.5,0.0,725182000.0,1.5
677.0,3e-08,9e-09,5.5,0.0,725182000.0,4.5
678.0,3e-08,9e-09,5.5,0.0,7251820000.0,0.5
679.0,3e-08,9e-09,5.5,0.0,7251820000.0,1.5
680.0,3e-08,9e-09,5.5,0.0,7251820000.0,4.5
681.0,3e-08,9e-09,5.5,0.0,72518200000.0,0.5
682.0,3e-08,9e-09,5.5,0.0,72518200000.0,1.5
683.0,3e-08,9e-09,5.5,0.0,72518200000.0,4.5
684.0,3e-08,9e-09,5.5,0.25,725182000.0,0.5
685.0,3e-08,9e-09,5.5,0.25,725182000.0,1.5
686.0,3e-08,9e-09,5.5,0.25,725182000.0,4.5
687.0,3e-08,9e-09,5.5,0.25,7251820000.0,0.5
688.0,3e-08,9e-09,5.5,0.25,7251820000.0,1.5
689.0,3e-08,9e-09,5.5,0.25,7251820000.0,4.5
690.0,3e-08,9e-09,5.5,0.25,72518200000.0,0.5
691.0,3e-08,9e-09,5.5,0.25,72518200000.0,1.5
692.0,3e-08,9e-09,5.5,0.25,72518200000.0,4.5
693.0,3e-08,9e-09,5.5,1.0,725182000.0,0.5
694.0,3e-08,9e-09,5.5,1.0,725182000.0,1.5
695.0,3e-08,9e-09,5.5,1.0,725182000.0,4.5
696.0,3e-08,9e-09,5.5,1.0,7251820000.0,0.5
697.0,3e-08,9e-09,5.5,1.0,7251820000.0,1.5
698.0,3e-08,9e-09,5.5,1.0,7251820000.0,4.5
699.0,3e-08,9e-09,5.5,1.0,72518200000.0,0.5
700.0,3e-08,9e-09,5.5,1.0,72518200000.0,1.5
701.0,3e-08,9e-09,5.5,1.0,72518200000.0,4.5
702.0,3e-08,9e-09,55.0,0.0,725182000.0,0.5
703.0,3e-08,9e-09,55.0,0.0,725182000.0,1.5
704.0,3e-08,9e-09,55.0,0.0,725182000.0,4.5
705.0,3e-08,9e-09,55.0,0.0,7251820000.0,0.5
706.0,3e-08,9e-09,55.0,0.0,7251820000.0,1.5
707.0,3e-08,9e-09,55.0,0.0,7251820000.0,4.5
708.0,3e-08,9e-09,55.0,0.0,72518200000.0,0.5
709.0,3e-08,9e-09,55.0,0.0,72518200000.0,1.5
710.0,3e-08,9e-09,55.0,0.0,72518200000.0,4.5
711.0,3e-08,9e-09,55.0,0.25,725182000.0,0.5
712.0,3e-08,9e-09,55.0,0.25,725182000.0,1.5
713.0,3e-08,9e-09,55.0,0.25,725182000.0,4.5
714.0,3e-08,9e-09,55.0,0.25,7251820000.0,0.5
715.0,3e-08,9e-09,55.0,0.25,7251820000.0,1.5
716.0,3e-08,9e-09,55.0,0.25,7251820000.0,4.5
717.0,3e-08,9e-09,55.0,0.25,72518200000.0,0.5
718.0,3e-08,9e-09,55.0,0.25,72518200000.0,1.5
719.0,3e-08,9e-09,55.0,0.25,72518200000.0,4.5
720.0,3e-08,9e-09,55.0,1.0,725182000.0,0.5
721.0,3e-08,9e-09,55.0,1.0,725182000.0,1.5
722.0,3e-08,9e-09,55.0,1.0,725182000.0,4.5
723.0,3e-08,9e-09,55.0,1.0,7251820000.0,0.5
724.0,3e-08,9e-09,55.0,1.0,7251820000.0,1.5
725.0,3e-08,9e-09,55.0,1.0,7251820000.0,4.5
726.0,3e-08,9e-09,55.0,1.0,72518200000.0,0.5
727.0,3e-08,9e-09,55.0,1.0,72518200000.0,1.5
728.0,3e-08,9e-09,55.0,1.0,72518200000.0,4.5
